,content
2012-06-27,28.0
2012-06-28,27.0
2012-06-29,26.0
2012-06-30,25.0
2012-07-01,21.0
2012-07-02,16.0
2012-07-03,14.0
2012-07-04,14.0
2012-07-05,14.0
2012-07-06,14.0
2012-07-07,13.0
2012-07-08,11.0
2012-07-09,12.0
2012-07-10,12.0
2012-07-11,12.0
2012-07-12,10.0
2012-07-13,11.0
2012-07-14,11.0
2012-07-15,14.0
2012-07-16,14.0
2012-07-17,14.0
2012-07-18,14.0
2012-07-19,16.0
2012-07-20,15.0
2012-07-21,14.0
2012-07-22,10.0
2012-07-23,6.0
2012-07-24,6.0
2012-07-25,3.0
2012-07-26,3.0
2012-07-27,3.0
2012-07-28,3.0
2012-07-29,4.0
2012-07-30,6.0
2012-07-31,7.0
2012-08-01,9.0
2012-08-02,8.0
2012-08-03,8.0
2012-08-04,11.0
2012-08-05,13.0
2012-08-06,14.0
2012-08-07,15.0
2012-08-08,13.0
2012-08-09,12.0
2012-08-10,12.0
2012-08-11,10.0
2012-08-12,10.0
2012-08-13,10.0
2012-08-14,8.0
2012-08-15,9.0
2012-08-16,10.0
2012-08-17,9.0
2012-08-18,9.0
2012-08-19,8.0
2012-08-20,8.0
2012-08-21,8.0
2012-08-22,8.0
2012-08-23,8.0
2012-08-24,8.0
2012-08-25,8.0
2012-08-26,10.0
2012-08-27,12.0
2012-08-28,12.0
2012-08-29,12.0
2012-08-30,11.0
2012-08-31,13.0
2012-09-01,13.0
2012-09-02,12.0
2012-09-03,12.0
2012-09-04,13.0
2012-09-05,13.0
2012-09-06,14.0
2012-09-07,15.0
2012-09-08,15.0
2012-09-09,13.0
2012-09-10,9.0
2012-09-11,10.0
2012-09-12,11.0
2012-09-13,10.0
2012-09-14,7.0
2012-09-15,8.0
2012-09-16,10.0
2012-09-17,12.0
2012-09-18,12.0
2012-09-19,10.0
2012-09-20,10.0
2012-09-21,12.0
2012-09-22,12.0
2012-09-23,12.0
2012-09-24,13.0
2012-09-25,12.0
2012-09-26,12.0
2012-09-27,14.0
2012-09-28,13.0
2012-09-29,11.0
2012-09-30,8.0
2012-10-01,4.0
2012-10-02,3.0
2012-10-03,3.0
2012-10-04,1.0
2012-10-05,2.0
2012-10-06,3.0
2012-10-07,4.0
2012-10-08,5.0
2012-10-09,5.0
2012-10-10,6.0
2012-10-11,8.0
2012-10-12,6.0
2012-10-13,6.0
2012-10-14,7.0
2012-10-15,11.0
2012-10-16,12.0
2012-10-17,11.0
2012-10-18,10.0
2012-10-19,10.0
2012-10-20,10.0
2012-10-21,9.0
2012-10-22,7.0
2012-10-23,6.0
2012-10-24,7.0
2012-10-25,6.0
2012-10-26,8.0
2012-10-27,7.0
2012-10-28,7.0
2012-10-29,5.0
2012-10-30,10.0
2012-10-31,11.0
2012-11-01,11.0
2012-11-02,11.0
2012-11-03,13.0
2012-11-04,15.0
2012-11-05,18.0
2012-11-06,15.0
2012-11-07,14.0
2012-11-08,14.0
2012-11-09,13.0
2012-11-10,12.0
2012-11-11,11.0
2012-11-12,11.0
2012-11-13,12.0
2012-11-14,12.0
2012-11-15,12.0
2012-11-16,11.0
2012-11-17,11.0
2012-11-18,10.0
2012-11-19,8.0
2012-11-20,6.0
2012-11-21,11.0
2012-11-22,13.0
2012-11-23,13.0
2012-11-24,15.0
2012-11-25,19.0
2012-11-26,22.0
2012-11-27,21.0
2012-11-28,16.0
2012-11-29,14.0
2012-11-30,14.0
2012-12-01,12.0
2012-12-02,8.0
2012-12-03,4.0
2012-12-04,4.0
2012-12-05,3.0
2012-12-06,5.0
2012-12-07,9.0
2012-12-08,11.0
2012-12-09,17.0
2012-12-10,24.0
2012-12-11,26.0
2012-12-12,26.0
2012-12-13,25.0
2012-12-14,25.0
2012-12-15,24.0
2012-12-16,19.0
2012-12-17,14.0
2012-12-18,13.0
2012-12-19,15.0
2012-12-20,14.0
2012-12-21,12.0
2012-12-22,11.0
2012-12-23,10.0
2012-12-24,9.0
2012-12-25,8.0
2012-12-26,9.0
2012-12-27,11.0
2012-12-28,10.0
2012-12-29,11.0
2012-12-30,12.0
2012-12-31,12.0
2013-01-01,13.0
2013-01-02,10.0
2013-01-03,8.0
2013-01-04,7.0
2013-01-05,9.0
2013-01-06,12.0
2013-01-07,15.0
2013-01-08,14.0
2013-01-09,17.0
2013-01-10,18.0
2013-01-11,18.0
2013-01-12,14.0
2013-01-13,9.0
2013-01-14,4.0
2013-01-15,4.0
2013-01-16,2.0
2013-01-17,3.0
2013-01-18,5.0
2013-01-19,6.0
2013-01-20,7.0
2013-01-21,8.0
2013-01-22,12.0
2013-01-23,13.0
2013-01-24,13.0
2013-01-25,11.0
2013-01-26,11.0
2013-01-27,11.0
2013-01-28,13.0
2013-01-29,10.0
2013-01-30,8.0
2013-01-31,8.0
2013-02-01,10.0
2013-02-02,9.0
2013-02-03,8.0
2013-02-04,5.0
2013-02-05,4.0
2013-02-06,4.0
2013-02-07,5.0
2013-02-08,3.0
2013-02-09,4.0
2013-02-10,5.0
2013-02-11,6.0
2013-02-12,6.0
2013-02-13,6.0
2013-02-14,3.0
2013-02-15,3.0
2013-02-16,2.0
2013-02-17,2.0
2013-02-18,2.0
2013-02-19,2.0
2013-02-20,4.0
2013-02-21,4.0
2013-02-22,5.0
2013-02-23,5.0
2013-02-24,7.0
2013-02-25,9.0
2013-02-26,11.0
2013-02-27,10.0
2013-02-28,10.0
2013-03-01,10.0
2013-03-02,10.0
2013-03-03,8.0
2013-03-04,6.0
2013-03-05,5.0
2013-03-06,6.0
2013-03-07,7.0
2013-03-08,8.0
2013-03-09,8.0
2013-03-10,7.0
2013-03-11,7.0
2013-03-12,6.0
2013-03-13,4.0
2013-03-14,5.0
2013-03-15,3.0
2013-03-16,3.0
2013-03-17,3.0
2013-03-18,3.0
2013-03-19,3.0
2013-03-20,4.0
2013-03-21,2.0
2013-03-22,2.0
2013-03-23,2.0
2013-03-24,3.0
2013-03-25,4.0
2013-03-26,6.0
2013-03-27,7.0
2013-03-28,9.0
2013-03-29,12.0
2013-03-30,14.0
2013-03-31,16.0
2013-04-01,17.0
2013-04-02,16.0
2013-04-03,14.0
2013-04-04,16.0
2013-04-05,13.0
2013-04-06,11.0
2013-04-07,9.0
2013-04-08,10.0
2013-04-09,12.0
2013-04-10,13.0
2013-04-11,11.0
2013-04-12,11.0
2013-04-13,12.0
2013-04-14,12.0
2013-04-15,12.0
2013-04-16,11.0
2013-04-17,11.0
2013-04-18,9.0
2013-04-19,9.0
2013-04-20,8.0
2013-04-21,7.0
2013-04-22,3.0
2013-04-23,1.0
2013-04-24,0.0
2013-04-25,1.0
2013-04-26,3.0
2013-04-27,4.0
2013-04-28,5.0
2013-04-29,7.0
2013-04-30,7.0
2013-05-01,7.0
2013-05-02,7.0
2013-05-03,6.0
2013-05-04,6.0
2013-05-05,6.0
2013-05-06,5.0
2013-05-07,7.0
2013-05-08,7.0
2013-05-09,8.0
2013-05-10,7.0
2013-05-11,6.0
2013-05-12,7.0
2013-05-13,8.0
2013-05-14,6.0
2013-05-15,7.0
2013-05-16,5.0
2013-05-17,6.0
2013-05-18,6.0
2013-05-19,8.0
2013-05-20,10.0
2013-05-21,11.0
2013-05-22,10.0
2013-05-23,10.0
2013-05-24,10.0
2013-05-25,12.0
2013-05-26,14.0
2013-05-27,16.0
2013-05-28,18.0
2013-05-29,19.0
2013-05-30,19.0
2013-05-31,19.0
2013-06-01,17.0
2013-06-02,13.0
2013-06-03,9.0
2013-06-04,9.0
2013-06-05,10.0
2013-06-06,10.0
2013-06-07,11.0
2013-06-08,11.0
2013-06-09,9.0
2013-06-10,8.0
2013-06-11,6.0
2013-06-12,4.0
2013-06-13,8.0
2013-06-14,6.0
2013-06-15,8.0
2013-06-16,11.0
2013-06-17,13.0
2013-06-18,13.0
2013-06-19,14.0
2013-06-20,12.0
2013-06-21,12.0
2013-06-22,12.0
2013-06-23,11.0
2013-06-24,10.0
2013-06-25,11.0
2013-06-26,10.0
2013-06-27,9.0
2013-06-28,12.0
2013-06-29,13.0
2013-06-30,18.0
2013-07-01,23.0
2013-07-02,22.0
2013-07-03,22.0
2013-07-04,23.0
2013-07-05,22.0
2013-07-06,21.0
2013-07-07,18.0
2013-07-08,15.0
2013-07-09,14.0
2013-07-10,15.0
2013-07-11,14.0
2013-07-12,13.0
2013-07-13,12.0
2013-07-14,12.0
2013-07-15,12.0
2013-07-16,12.0
2013-07-17,14.0
2013-07-18,13.0
2013-07-19,13.0
2013-07-20,17.0
2013-07-21,19.0
2013-07-22,23.0
2013-07-23,26.0
2013-07-24,24.0
2013-07-25,25.0
2013-07-26,24.0
2013-07-27,19.0
2013-07-28,13.0
2013-07-29,7.0
2013-07-30,4.0
2013-07-31,5.0
2013-08-01,4.0
2013-08-02,5.0
2013-08-03,6.0
2013-08-04,7.0
2013-08-05,9.0
2013-08-06,9.0
2013-08-07,9.0
2013-08-08,9.0
2013-08-09,8.0
2013-08-10,7.0
2013-08-11,6.0
2013-08-12,3.0
2013-08-13,6.0
2013-08-14,4.0
2013-08-15,5.0
2013-08-16,5.0
2013-08-17,5.0
2013-08-18,5.0
2013-08-19,9.0
2013-08-20,9.0
2013-08-21,11.0
2013-08-22,10.0
2013-08-23,10.0
2013-08-24,10.0
2013-08-25,10.0
2013-08-26,5.0
2013-08-27,3.0
2013-08-28,2.0
2013-08-29,5.0
2013-08-30,6.0
2013-08-31,8.0
2013-09-01,10.0
2013-09-02,13.0
2013-09-03,12.0
2013-09-04,12.0
2013-09-05,9.0
2013-09-06,11.0
2013-09-07,13.0
2013-09-08,16.0
2013-09-09,19.0
2013-09-10,19.0
2013-09-11,19.0
2013-09-12,20.0
2013-09-13,19.0
2013-09-14,17.0
2013-09-15,14.0
2013-09-16,11.0
2013-09-17,14.0
2013-09-18,14.0
2013-09-19,13.0
2013-09-20,13.0
2013-09-21,11.0
2013-09-22,11.0
2013-09-23,12.0
2013-09-24,10.0
2013-09-25,9.0
2013-09-26,9.0
2013-09-27,9.0
2013-09-28,10.0
2013-09-29,10.0
2013-09-30,10.0
2013-10-01,9.0
2013-10-02,9.0
2013-10-03,10.0
2013-10-04,9.0
2013-10-05,11.0
2013-10-06,12.0
2013-10-07,11.0
2013-10-08,12.0
2013-10-09,15.0
2013-10-10,14.0
2013-10-11,17.0
2013-10-12,16.0
2013-10-13,18.0
2013-10-14,22.0
2013-10-15,24.0
2013-10-16,25.0
2013-10-17,28.0
2013-10-18,25.0
2013-10-19,24.0
2013-10-20,21.0
2013-10-21,20.0
2013-10-22,18.0
2013-10-23,16.0
2013-10-24,13.0
2013-10-25,12.0
2013-10-26,15.0
2013-10-27,18.0
2013-10-28,17.0
2013-10-29,16.0
2013-10-30,14.0
2013-10-31,14.0
2013-11-01,15.0
2013-11-02,13.0
2013-11-03,11.0
2013-11-04,13.0
2013-11-05,15.0
2013-11-06,17.0
2013-11-07,18.0
2013-11-08,18.0
2013-11-09,16.0
2013-11-10,13.0
2013-11-11,7.0
2013-11-12,9.0
2013-11-13,7.0
2013-11-14,7.0
2013-11-15,6.0
2013-11-16,6.0
2013-11-17,9.0
2013-11-18,11.0
2013-11-19,8.0
2013-11-20,9.0
2013-11-21,10.0
2013-11-22,12.0
2013-11-23,13.0
2013-11-24,13.0
2013-11-25,13.0
2013-11-26,12.0
2013-11-27,12.0
2013-11-28,13.0
2013-11-29,12.0
2013-11-30,13.0
2013-12-01,14.0
2013-12-02,15.0
2013-12-03,17.0
2013-12-04,16.0
2013-12-05,14.0
2013-12-06,17.0
2013-12-07,16.0
2013-12-08,14.0
2013-12-09,14.0
2013-12-10,12.0
2013-12-11,12.0
2013-12-12,14.0
2013-12-13,11.0
2013-12-14,11.0
2013-12-15,12.0
2013-12-16,11.0
2013-12-17,11.0
2013-12-18,12.0
2013-12-19,9.0
2013-12-20,11.0
2013-12-21,11.0
2013-12-22,9.0
2013-12-23,7.0
2013-12-24,7.0
2013-12-25,7.0
2013-12-26,7.0
2013-12-27,5.0
2013-12-28,7.0
2013-12-29,9.0
2013-12-30,12.0
2013-12-31,12.0
2014-01-01,11.0
2014-01-02,11.0
2014-01-03,10.0
2014-01-04,8.0
2014-01-05,6.0
2014-01-06,3.0
2014-01-07,3.0
2014-01-08,4.0
2014-01-09,4.0
2014-01-10,5.0
2014-01-11,4.0
2014-01-12,3.0
2014-01-13,2.0
2014-01-14,2.0
2014-01-15,1.0
2014-01-16,3.0
2014-01-17,3.0
2014-01-18,3.0
2014-01-19,4.0
2014-01-20,6.0
2014-01-21,7.0
2014-01-22,8.0
2014-01-23,9.0
2014-01-24,10.0
2014-01-25,11.0
2014-01-26,12.0
2014-01-27,12.0
2014-01-28,11.0
2014-01-29,10.0
2014-01-30,7.0
2014-01-31,6.0
2014-02-01,6.0
2014-02-02,5.0
2014-02-03,4.0
2014-02-04,4.0
2014-02-05,4.0
2014-02-06,4.0
2014-02-07,4.0
2014-02-08,3.0
2014-02-09,2.0
2014-02-10,1.0
2014-02-11,1.0
2014-02-12,1.0
2014-02-13,2.0
2014-02-14,2.0
2014-02-15,2.0
2014-02-16,6.0
2014-02-17,10.0
2014-02-18,11.0
2014-02-19,12.0
2014-02-20,11.0
2014-02-21,10.0
2014-02-22,12.0
2014-02-23,10.0
2014-02-24,9.0
2014-02-25,10.0
2014-02-26,9.0
2014-02-27,10.0
2014-02-28,12.0
2014-03-01,11.0
2014-03-02,11.0
2014-03-03,10.0
2014-03-04,10.0
2014-03-05,12.0
2014-03-06,12.0
2014-03-07,11.0
2014-03-08,11.0
2014-03-09,10.0
2014-03-10,9.0
2014-03-11,8.0
2014-03-12,6.0
2014-03-13,5.0
2014-03-14,5.0
2014-03-15,4.0
2014-03-16,3.0
2014-03-17,4.0
2014-03-18,4.0
2014-03-19,5.0
2014-03-20,7.0
2014-03-21,7.0
2014-03-22,9.0
2014-03-23,12.0
2014-03-24,15.0
2014-03-25,18.0
2014-03-26,23.0
2014-03-27,22.0
2014-03-28,22.0
2014-03-29,23.0
2014-03-30,24.0
2014-03-31,26.0
2014-04-01,22.0
2014-04-02,16.0
2014-04-03,16.0
2014-04-04,17.0
2014-04-05,15.0
2014-04-06,12.0
2014-04-07,6.0
2014-04-08,6.0
2014-04-09,9.0
2014-04-10,11.0
2014-04-11,13.0
2014-04-12,14.0
2014-04-13,16.0
2014-04-14,23.0
2014-04-15,23.0
2014-04-16,21.0
2014-04-17,19.0
2014-04-18,17.0
2014-04-19,16.0
2014-04-20,14.0
2014-04-21,9.0
2014-04-22,11.0
2014-04-23,15.0
2014-04-24,14.0
2014-04-25,12.0
2014-04-26,13.0
2014-04-27,15.0
2014-04-28,15.0
2014-04-29,13.0
2014-04-30,8.0
2014-05-01,8.0
2014-05-02,8.0
2014-05-03,7.0
2014-05-04,5.0
2014-05-05,3.0
2014-05-06,4.0
2014-05-07,7.0
2014-05-08,9.0
2014-05-09,13.0
2014-05-10,16.0
2014-05-11,20.0
2014-05-12,25.0
2014-05-13,27.0
2014-05-14,25.0
2014-05-15,26.0
2014-05-16,24.0
2014-05-17,22.0
2014-05-18,19.0
2014-05-19,16.0
2014-05-20,14.0
2014-05-21,17.0
2014-05-22,14.0
2014-05-23,13.0
2014-05-24,14.0
2014-05-25,17.0
2014-05-26,19.0
2014-05-27,18.0
2014-05-28,14.0
2014-05-29,15.0
2014-05-30,14.0
2014-05-31,14.0
2014-06-01,15.0
2014-06-02,17.0
2014-06-03,18.0
2014-06-04,19.0
2014-06-05,20.0
2014-06-06,22.0
2014-06-07,19.0
2014-06-08,15.0
2014-06-09,11.0
2014-06-10,11.0
2014-06-11,11.0
2014-06-12,9.0
2014-06-13,7.0
2014-06-14,8.0
2014-06-15,8.0
2014-06-16,7.0
2014-06-17,8.0
2014-06-18,10.0
2014-06-19,13.0
2014-06-20,17.0
2014-06-21,20.0
2014-06-22,24.0
2014-06-23,29.0
2014-06-24,27.0
2014-06-25,27.0
2014-06-26,25.0
2014-06-27,22.0
2014-06-28,19.0
2014-06-29,14.0
2014-06-30,8.0
2014-07-01,8.0
2014-07-02,6.0
2014-07-03,5.0
2014-07-04,5.0
2014-07-05,5.0
2014-07-06,6.0
2014-07-07,8.0
2014-07-08,10.0
2014-07-09,11.0
2014-07-10,15.0
2014-07-11,15.0
2014-07-12,14.0
2014-07-13,17.0
2014-07-14,19.0
2014-07-15,18.0
2014-07-16,17.0
2014-07-17,15.0
2014-07-18,17.0
2014-07-19,20.0
2014-07-20,19.0
2014-07-21,19.0
2014-07-22,19.0
2014-07-23,20.0
2014-07-24,19.0
2014-07-25,17.0
2014-07-26,16.0
2014-07-27,14.0
2014-07-28,13.0
2014-07-29,13.0
2014-07-30,13.0
2014-07-31,13.0
2014-08-01,14.0
2014-08-02,16.0
2014-08-03,19.0
2014-08-04,21.0
2014-08-05,20.0
2014-08-06,18.0
2014-08-07,18.0
2014-08-08,17.0
2014-08-09,17.0
2014-08-10,16.0
2014-08-11,14.0
2014-08-12,16.0
2014-08-13,17.0
2014-08-14,17.0
2014-08-15,19.0
2014-08-16,17.0
2014-08-17,16.0
2014-08-18,16.0
2014-08-19,14.0
2014-08-20,14.0
2014-08-21,15.0
2014-08-22,12.0
2014-08-23,13.0
2014-08-24,15.0
2014-08-25,16.0
2014-08-26,17.0
2014-08-27,16.0
2014-08-28,15.0
2014-08-29,15.0
2014-08-30,13.0
2014-08-31,10.0
2014-09-01,7.0
2014-09-02,8.0
2014-09-03,9.0
2014-09-04,8.0
2014-09-05,8.0
2014-09-06,8.0
2014-09-07,11.0
2014-09-08,14.0
2014-09-09,12.0
2014-09-10,14.0
2014-09-11,15.0
2014-09-12,15.0
2014-09-13,16.0
2014-09-14,13.0
2014-09-15,10.0
2014-09-16,10.0
2014-09-17,8.0
2014-09-18,9.0
2014-09-19,10.0
2014-09-20,9.0
2014-09-21,10.0
2014-09-22,11.0
2014-09-23,11.0
2014-09-24,10.0
2014-09-25,8.0
2014-09-26,8.0
2014-09-27,10.0
2014-09-28,10.0
2014-09-29,11.0
2014-09-30,12.0
2014-10-01,13.0
2014-10-02,13.0
2014-10-03,12.0
2014-10-04,10.0
2014-10-05,14.0
2014-10-06,19.0
2014-10-07,18.0
2014-10-08,19.0
2014-10-09,20.0
2014-10-10,20.0
2014-10-11,20.0
2014-10-12,14.0
2014-10-13,8.0
2014-10-14,8.0
2014-10-15,8.0
2014-10-16,7.0
2014-10-17,11.0
2014-10-18,13.0
2014-10-19,19.0
2014-10-20,24.0
2014-10-21,24.0
2014-10-22,26.0
2014-10-23,29.0
2014-10-24,25.0
2014-10-25,26.0
2014-10-26,23.0
2014-10-27,19.0
2014-10-28,21.0
2014-10-29,17.0
2014-10-30,15.0
2014-10-31,17.0
2014-11-01,14.0
2014-11-02,11.0
2014-11-03,9.0
2014-11-04,9.0
2014-11-05,11.0
2014-11-06,11.0
2014-11-07,10.0
2014-11-08,10.0
2014-11-09,12.0
2014-11-10,17.0
2014-11-11,18.0
2014-11-12,18.0
2014-11-13,19.0
2014-11-14,21.0
2014-11-15,23.0
2014-11-16,27.0
2014-11-17,29.0
2014-11-18,31.0
2014-11-19,30.0
2014-11-20,32.0
2014-11-21,33.0
2014-11-22,32.0
2014-11-23,28.0
2014-11-24,23.0
2014-11-25,20.0
2014-11-26,20.0
2014-11-27,17.0
2014-11-28,13.0
2014-11-29,12.0
2014-11-30,10.0
2014-12-01,8.0
2014-12-02,6.0
2014-12-03,6.0
2014-12-04,8.0
2014-12-05,10.0
2014-12-06,11.0
2014-12-07,12.0
2014-12-08,15.0
2014-12-09,17.0
2014-12-10,16.0
2014-12-11,13.0
2014-12-12,12.0
2014-12-13,13.0
2014-12-14,17.0
2014-12-15,19.0
2014-12-16,19.0
2014-12-17,21.0
2014-12-18,24.0
2014-12-19,30.0
2014-12-20,29.0
2014-12-21,25.0
2014-12-22,21.0
2014-12-23,22.0
2014-12-24,21.0
2014-12-25,20.0
2014-12-26,14.0
2014-12-27,14.0
2014-12-28,14.0
2014-12-29,13.0
2014-12-30,13.0
2014-12-31,14.0
2015-01-01,12.0
2015-01-02,11.0
2015-01-03,10.0
2015-01-04,11.0
2015-01-05,12.0
2015-01-06,11.0
2015-01-07,17.0
2015-01-08,19.0
2015-01-09,21.0
2015-01-10,24.0
2015-01-11,26.0
2015-01-12,29.0
2015-01-13,27.0
2015-01-14,19.0
2015-01-15,18.0
2015-01-16,16.0
2015-01-17,13.0
2015-01-18,9.0
2015-01-19,4.0
2015-01-20,4.0
2015-01-21,5.0
2015-01-22,6.0
2015-01-23,8.0
2015-01-24,10.0
2015-01-25,12.0
2015-01-26,15.0
2015-01-27,20.0
2015-01-28,20.0
2015-01-29,21.0
2015-01-30,21.0
2015-01-31,19.0
2015-02-01,17.0
2015-02-02,16.0
2015-02-03,11.0
2015-02-04,11.0
2015-02-05,11.0
2015-02-06,10.0
2015-02-07,10.0
2015-02-08,10.0
2015-02-09,12.0
2015-02-10,17.0
2015-02-11,18.0
2015-02-12,16.0
2015-02-13,17.0
2015-02-14,18.0
2015-02-15,20.0
2015-02-16,18.0
2015-02-17,13.0
2015-02-18,11.0
2015-02-19,10.0
2015-02-20,8.0
2015-02-21,6.0
2015-02-22,3.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,1.0
2015-02-27,1.0
2015-02-28,2.0
2015-03-01,4.0
2015-03-02,7.0
2015-03-03,8.0
2015-03-04,8.0
2015-03-05,8.0
2015-03-06,9.0
2015-03-07,8.0
2015-03-08,7.0
2015-03-09,5.0
2015-03-10,5.0
2015-03-11,5.0
2015-03-12,5.0
2015-03-13,6.0
2015-03-14,7.0
2015-03-15,7.0
2015-03-16,7.0
2015-03-17,6.0
2015-03-18,7.0
2015-03-19,8.0
2015-03-20,7.0
2015-03-21,10.0
2015-03-22,13.0
2015-03-23,18.0
2015-03-24,21.0
2015-03-25,20.0
2015-03-26,20.0
2015-03-27,22.0
2015-03-28,20.0
2015-03-29,21.0
2015-03-30,21.0
2015-03-31,18.0
2015-04-01,21.0
2015-04-02,22.0
2015-04-03,22.0
2015-04-04,21.0
2015-04-05,17.0
2015-04-06,12.0
2015-04-07,12.0
2015-04-08,10.0
2015-04-09,10.0
2015-04-10,7.0
2015-04-11,14.0
2015-04-12,22.0
2015-04-13,31.0
2015-04-14,37.0
2015-04-15,42.0
2015-04-16,40.0
2015-04-17,43.0
2015-04-18,40.0
2015-04-19,37.0
2015-04-20,35.0
2015-04-21,32.0
2015-04-22,28.0
2015-04-23,30.0
2015-04-24,30.0
2015-04-25,27.0
2015-04-26,23.0
2015-04-27,17.0
2015-04-28,15.0
2015-04-29,15.0
2015-04-30,12.0
2015-05-01,10.0
2015-05-02,8.0
2015-05-03,6.0
2015-05-04,4.0
2015-05-05,3.0
2015-05-06,1.0
2015-05-07,4.0
2015-05-08,5.0
2015-05-09,7.0
2015-05-10,10.0
2015-05-11,16.0
2015-05-12,18.0
2015-05-13,19.0
2015-05-14,18.0
2015-05-15,18.0
2015-05-16,16.0
2015-05-17,13.0
2015-05-18,7.0
2015-05-19,7.0
2015-05-20,9.0
2015-05-21,11.0
2015-05-22,11.0
2015-05-23,13.0
2015-05-24,17.0
2015-05-25,22.0
2015-05-26,21.0
2015-05-27,20.0
2015-05-28,21.0
2015-05-29,22.0
2015-05-30,22.0
2015-05-31,21.0
2015-06-01,21.0
2015-06-02,20.0
2015-06-03,20.0
2015-06-04,15.0
2015-06-05,12.0
2015-06-06,11.0
2015-06-07,9.0
2015-06-08,5.0
2015-06-09,8.0
2015-06-10,9.0
2015-06-11,12.0
2015-06-12,13.0
2015-06-13,12.0
2015-06-14,11.0
2015-06-15,10.0
2015-06-16,7.0
2015-06-17,4.0
2015-06-18,5.0
2015-06-19,7.0
2015-06-20,9.0
2015-06-21,13.0
2015-06-22,19.0
2015-06-23,19.0
2015-06-24,23.0
2015-06-25,20.0
2015-06-26,19.0
2015-06-27,21.0
2015-06-28,22.0
2015-06-29,23.0
2015-06-30,26.0
2015-07-01,24.0
2015-07-02,25.0
2015-07-03,24.0
2015-07-04,24.0
2015-07-05,23.0
2015-07-06,20.0
2015-07-07,17.0
2015-07-08,17.0
2015-07-09,20.0
2015-07-10,29.0
2015-07-11,29.0
2015-07-12,29.0
2015-07-13,32.0
2015-07-14,33.0
2015-07-15,35.0
2015-07-16,31.0
2015-07-17,23.0
2015-07-18,20.0
2015-07-19,20.0
2015-07-20,19.0
2015-07-21,19.0
2015-07-22,15.0
2015-07-23,14.0
2015-07-24,13.0
2015-07-25,15.0
2015-07-26,15.0
2015-07-27,13.0
2015-07-28,13.0
2015-07-29,14.0
2015-07-30,18.0
2015-07-31,20.0
2015-08-01,18.0
2015-08-02,15.0
2015-08-03,12.0
2015-08-04,12.0
2015-08-05,14.0
2015-08-06,11.0
2015-08-07,8.0
2015-08-08,8.0
2015-08-09,9.0
2015-08-10,10.0
2015-08-11,9.0
2015-08-12,6.0
2015-08-13,6.0
2015-08-14,8.0
2015-08-15,7.0
2015-08-16,6.0
2015-08-17,5.0
2015-08-18,6.0
2015-08-19,8.0
2015-08-20,7.0
2015-08-21,5.0
2015-08-22,8.0
2015-08-23,10.0
2015-08-24,13.0
2015-08-25,13.0
2015-08-26,16.0
2015-08-27,17.0
2015-08-28,17.0
2015-08-29,14.0
2015-08-30,11.0
2015-08-31,8.0
2015-09-01,7.0
2015-09-02,4.0
2015-09-03,8.0
2015-09-04,10.0
2015-09-05,12.0
2015-09-06,14.0
2015-09-07,19.0
2015-09-08,19.0
2015-09-09,19.0
2015-09-10,15.0
2015-09-11,16.0
2015-09-12,15.0
2015-09-13,14.0
2015-09-14,9.0
2015-09-15,10.0
2015-09-16,11.0
2015-09-17,14.0
2015-09-18,15.0
2015-09-19,17.0
2015-09-20,19.0
2015-09-21,21.0
2015-09-22,23.0
2015-09-23,21.0
2015-09-24,19.0
2015-09-25,15.0
2015-09-26,12.0
2015-09-27,10.0
2015-09-28,11.0
2015-09-29,10.0
2015-09-30,12.0
2015-10-01,10.0
2015-10-02,10.0
2015-10-03,10.0
2015-10-04,9.0
2015-10-05,5.0
2015-10-06,3.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,1.0
2015-10-10,2.0
2015-10-11,7.0
2015-10-12,12.0
2015-10-13,12.0
2015-10-14,13.0
2015-10-15,16.0
2015-10-16,15.0
2015-10-17,16.0
2015-10-18,16.0
2015-10-19,19.0
2015-10-20,21.0
2015-10-21,22.0
2015-10-22,21.0
2015-10-23,27.0
2015-10-24,30.0
2015-10-25,31.0
2015-10-26,29.0
2015-10-27,29.0
2015-10-28,29.0
2015-10-29,29.0
2015-10-30,25.0
2015-10-31,22.0
2015-11-01,20.0
2015-11-02,18.0
2015-11-03,20.0
2015-11-04,23.0
2015-11-05,22.0
2015-11-06,21.0
2015-11-07,22.0
2015-11-08,25.0
2015-11-09,28.0
2015-11-10,26.0
2015-11-11,26.0
2015-11-12,27.0
2015-11-13,27.0
2015-11-14,28.0
2015-11-15,25.0
2015-11-16,22.0
2015-11-17,24.0
2015-11-18,23.0
2015-11-19,25.0
2015-11-20,24.0
2015-11-21,20.0
2015-11-22,19.0
2015-11-23,20.0
2015-11-24,20.0
2015-11-25,19.0
2015-11-26,18.0
2015-11-27,22.0
2015-11-28,23.0
2015-11-29,22.0
2015-11-30,19.0
2015-12-01,16.0
2015-12-02,16.0
2015-12-03,14.0
2015-12-04,12.0
2015-12-05,14.0
2015-12-06,17.0
2015-12-07,21.0
2015-12-08,20.0
2015-12-09,17.0
2015-12-10,18.0
2015-12-11,17.0
2015-12-12,15.0
2015-12-13,11.0
2015-12-14,6.0
2015-12-15,9.0
2015-12-16,13.0
2015-12-17,15.0
2015-12-18,17.0
2015-12-19,17.0
2015-12-20,17.0
